id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,nama_rumah_sakit,jenis_rumah_sakit,kelas_rumah_sakit,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS PARU DR. M. GOENAWAN PARTOWIDIGDO,RUMAH SAKIT KHUSUS PARU,B,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH CIBINONG,RUMAH SAKIT UMUM,B,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH CIAWI,RUMAH SAKIT UMUM,B,2019
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM BINA HUSADA,RUMAH SAKIT UMUM,C,2019
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK CITRA INSANI,RUMAH SAKIT IBU DAN ANAK,C,2019
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM MARY CILEUNGSI HIJAU,RUMAH SAKIT UMUM,C,2019
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM MH. THAMRIN,RUMAH SAKIT UMUM,C,2019
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DR MUHAMAD HASSAN TOTO,RUMAH SAKIT UMUM,C,2019
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM TRIMITRA,RUMAH SAKIT UMUM,C,2019
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM FAMILY MEDICAL CENTER,RUMAH SAKIT UMUM,C,2019
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH LEUWILIANG,RUMAH SAKIT UMUM,B,2019
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM CITAMA,RUMAH SAKIT UMUM,C,2019
13,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM ANNISA,RUMAH SAKIT UMUM,C,2019
14,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM SENTRA MEDIKA CIBINONG,RUMAH SAKIT UMUM,B,2019
15,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS SENTOSA,RUMAH SAKIT UMUM,C,2019
16,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH CILEUNGSI,RUMAH SAKIT UMUM,C,2019
17,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DR. SISMADI,RUMAH SAKIT UMUM,C,2019
18,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM HERMINA MEKARSARI,RUMAH SAKIT UMUM,C,2019
